CodPessoa,theta,enem_score,acertos,total_itens
8711368,-0.69,431,21,45
8711416,0.152,515,33,45
8711421,-1.207,379,11,45
8711435,0.152,515,28,45
8711439,0.061,506,29,45
8711442,-0.731,427,21,45
8711462,0.355,535,23,45
8711513,0.355,535,23,45
8711681,-0.782,422,19,45
8711683,-1.178,382,14,45
8711717,-1.588,341,10,45
8711977,-1.14,386,16,45
8712973,-0.769,423,21,45
8713609,0.324,532,28,45
8713689,-3.312,169,4,45
8713955,0.239,524,27,45
8714714,0.002,500,25,45
8714717,-0.251,475,24,45
8714722,0.979,598,36,45
8714725,-1.266,373,15,45
8714737,0.39,539,28,45
8714747,0.491,549,26,45
8714764,-0.531,447,22,45
8714768,-1.248,375,13,45
8714784,0.206,521,26,45
8714790,0.491,549,26,45
8714792,-0.807,419,17,45
8714795,-1.215,379,13,45
8714821,0.256,526,31,45
8715005,-2.271,273,11,45
8715006,-0.326,467,24,45
8715007,-1.078,392,14,45
8715012,0.94,594,33,45
8715023,-1.711,329,10,45
8715274,0.487,549,35,45
8715280,0.687,569,38,45
8715326,0.461,546,31,45
8716059,-4.0,100,0,45
8716372,-0.634,437,26,45
8716527,-0.704,430,22,45
8716538,-1.167,383,16,45
8716539,0.134,513,27,45
8716540,-0.373,463,19,45
8716546,-1.483,352,11,45
8716566,0.269,527,27,45
8716595,-0.983,402,16,45
8716596,-1.134,387,15,45
8716623,-1.035,396,18,45
8716633,-1.574,343,12,45
8716674,-0.684,432,15,45
8716784,0.248,525,32,45
8716807,-0.752,425,17,45
8716945,-1.261,374,14,45
8717261,0.612,561,34,45
8717271,-1.116,388,14,45
8717739,0.253,525,23,45
8717750,0.253,525,24,45
8717752,-1.194,381,17,45
8717904,-0.917,408,22,45
8717906,-0.252,475,21,45
8717963,-1.458,354,15,45
8718028,-1.106,389,18,45
8718166,-1.615,338,10,45
8718485,-0.267,473,24,45
8718623,-0.565,443,22,45
8718661,-0.618,438,20,45
8718674,0.035,503,22,45
8718695,0.687,569,38,45
8718712,-1.255,375,14,45
8718715,-0.611,439,17,45
8718718,-0.539,446,19,45
8718770,-0.533,447,18,45
8718863,-1.137,386,13,45
8718895,-0.839,416,18,45
8719033,-1.259,374,14,45
8719321,-1.174,383,13,45
8719563,0.392,539,29,45
8719680,0.182,518,24,45
8719771,-0.808,419,16,45
8719781,-1.364,364,13,45
8719795,-1.188,381,12,45
8719864,-0.725,427,19,45
8719935,-0.885,412,17,45
8720073,-1.395,360,14,45
8720085,-0.663,434,17,45
8720144,-1.105,390,20,45
8720151,2.886,789,40,45
8720182,-0.452,455,16,45
8720277,-0.974,403,18,45
8720962,-1.597,340,10,45
8721034,-1.015,398,20,45
8721996,-0.965,404,19,45
8722595,0.304,530,27,45
8723320,-0.453,455,21,45
8723325,0.093,509,30,45
8723358,-1.017,398,18,45
8723775,-0.945,405,13,45
8723839,-1.923,308,5,45
8724119,0.436,544,34,45
8724162,-0.907,409,13,45
8724430,-1.235,377,14,45
8724490,-1.227,377,10,45
8725311,0.553,555,37,45
8725313,0.669,567,36,45
8725324,0.669,567,36,45
8725346,0.669,567,36,45
8725350,0.669,567,36,45
8725540,0.541,554,34,45
8725549,0.669,567,36,45
8725551,0.492,549,35,45
8725558,0.669,567,36,45
8725566,0.669,567,36,45
8725609,0.431,543,35,45
8725616,0.687,569,37,45
8725621,0.35,535,36,45
8726171,0.562,556,36,45
8726202,0.535,554,34,45
8726213,0.443,544,35,45
8726261,0.669,567,36,45
8726509,-1.562,344,12,45
8726573,-1.714,329,11,45
8727532,-0.674,433,20,45
8727859,-1.223,378,15,45
8727959,-1.125,388,16,45
8728808,-0.713,429,16,45
8729917,3.323,832,39,45
8730319,-0.592,441,21,45
8731147,-1.649,335,10,45
8731945,0.669,567,36,45
8731948,3.465,846,39,45
8731967,0.55,555,35,45
8731972,0.651,565,35,45
8731980,0.669,567,36,45
8731999,0.537,554,33,45
8732007,0.473,547,34,45
8732009,0.669,567,36,45
8732025,0.669,567,36,45
8732031,0.669,567,36,45
8732044,0.473,547,34,45
8732047,4.0,900,38,45
8732050,0.669,567,36,45
8732066,0.669,567,36,45
8732082,0.669,567,36,45
8732093,0.669,567,36,45
8732097,0.655,565,35,45
8732099,0.669,567,36,45
8732104,0.669,567,36,45
